id;nome;motivo
d2a48660-9a61-4c47-b9e4-630fa95d3272;Brinquedo Bola Super Bowl LED - Mordedor Interativo para Cachorro com Luzes Pisca Pisca - Verde;sem código
d42f1e96-84b1-4310-8372-ff7d452ddfae;Food Dog Sênior - Suplemento Vitamínico, Mineral e Aminoácido para Cães;sem código
d4589c58-0277-44d4-a813-1f3d5128f44e;TAPETE GELADO 50X90 G ESTAMPADO - Flor;sem código
d5554fb0-14c6-4884-9e7a-851995ccacc4;MORDEDOR SORVETINHO - Rosa - 1 Unidade;sem código
d6131cb2-9e78-42d4-934c-902c6df53393;Shampoo Allermyl Virbac para Cães e Gatos;sem código
d7d28855-17ab-4735-916f-b6b41aad8e1d;Premier Nutrição Clínica Cães Gastrointestinal Pequeno Porte;sem código
dad0bfee-afb8-4049-8dcd-9a20b350398f;FLOR ORGANZA  - Vermelho - 10;sem código
def87ec9-5753-4fcc-a057-163fbc12ea60;TAPETE GELADO 50X90 G ESTAMPADO - Cereja;sem código
e116aef0-dd5b-4a4d-b5ea-7614844307bb;AREIA BIODEGRADAVEL GROSSA 3,8kg;sem código
e1b5e553-33e0-486a-ab00-a2b72145c067;BICHINHO PELUCIA SORTIDO - Porco;sem código
e2bd6434-2941-4c55-8e54-7dd0f7d6202e;Premier Nutrição Clínica Cães Hipoalergênico Proteína Hidrolisada e Mandioca Pequeno Porte;sem código
e36c56c0-cd99-404a-b35b-cecdefbdcbf4;Brinquedo Pato de Pelúcia - Cinza;sem código
e7cf1774-6ae3-4def-a9d9-87cf182988b1;Premier Nutrição Clínica Cães Hipoalergênico Proteína Hidrolisada e Mandioca Pequeno Porte;sem código
e9fef9e1-aa95-4cdb-906a-3d235d5d642a;Comedouro Duplo Automático 460x300 ml;sem código
eacdff3e-0e13-4136-bbeb-064a6b2547b3;BICHINHO PELUCIA SORTIDO;sem código
ed2ac3f4-e980-4639-8d2d-d09e070097d8;COLEIRA TAG ID - Laguna - G;sem código
ee4717a1-484b-427b-9dcd-34d17f95cdc0;Food Dog Dietas Hiperproteicas - Suplemento Vitamínico, Mineral e Aminoácido para Cães;sem código
ef00bd0e-387a-48e6-ac4c-488f644d94e0;Pelo e Derme 750 DHA + EPA Vetnil;sem código
f15fd5a1-55a6-4594-a2f9-017e39250083;Brinquedo Corda com 2 Nós para pet;sem código
f28bdddd-10d3-4059-aa0c-7bb062461ca9;Bolsa de Transporte Aéreo Pet Azul - São Pet 43X31,5X20CM;sem código
f409211a-edf0-4b20-a439-a728458b6773;Comedouro ou Bebedouro Alto Pet Toys 250g/500ml;sem código
f53cb870-a750-48dd-a7ab-ed3c1417ac85;COLEIRA GATO SORTIDA TOH;sem código
f928a718-77e4-458a-81fd-b61aa0441b11;COLEIRA CABRESTO - Azul - G;sem código
fb67659b-6b66-4f7a-abda-771d3fb7f5f8;Premier Nutrição Clínica Cães Cardio Porte Pequeno;sem código
